"","Submission ID","Common Name","Scientific Name","Taxonomic Order","Count","State/Province","County","Location","Latitude","Longitude","Date","Time","Protocol","Duration (Min)","All Obs Reported","Distance Traveled (km)","Area Covered (ha)","Number of Observers","Breeding Code","Species Comments","Checklist Comments","yr","subID"
"1","S46413283","Canada Goose","Branta canadensis",296,"1","US-MI","Alpena","601 S 11th Ave, Alpena US-MI (45.0645,-83.4555)",45.064514,-83.455529,2018-06-09,08:47:00,"eBird - Stationary Count",8,1,NA,NA,2,NA,NA,NA,"2018","S46413283"
"2","S47699521","Canada Goose","Branta canadensis",296,"1","US-MI","Alpena","ALP2 Survey Transect--1.5km Survey Point",45.0679894,-83.4425569,2018-05-26,05:41:00,"eBird - Stationary Count",12,1,NA,NA,1,NA,NA,NA,"2018","S47699521"
"3","S46038651","Canada Goose","Branta canadensis",296,"1","US-MI","Alpena","ALP2 Survey Transect--10.5km",45.1265317,-83.4114272,2018-05-26,07:31:00,"eBird - Stationary Count",12,1,NA,NA,1,NA,NA,NA,"2018","S46038651"
"4","S47565658","Canada Goose","Branta canadensis",296,"15","US-MI","Baraga","Ojibwa Beach and Sand Point",46.7808284,-88.4702289,2018-07-31,13:05:00,"eBird - Traveling Count",32,1,1.222,NA,3,NA,NA,NA,"2018","S47565658"
"5","S47767840","Canada Goose","Branta canadensis",296,"8","US-MI","Chippewa","Aune-Osborn CG",46.4885352,-84.3102193,2018-05-29,06:33:00,"eBird - Stationary Count",12,1,NA,NA,1,NA,NA,NA,"2018","S47767840"
"6","S48098757","Canada Goose","Branta canadensis",296,"6","US-MI","Chippewa","Aune-Osborn CG",46.4885352,-84.3102193,2018-06-11,07:48:00,"eBird - Stationary Count",12,1,NA,NA,1,NA,NA,NA,"2018","S48098757"
"7","S48048868","Canada Goose","Branta canadensis",296,"3","US-MI","Chippewa","Munuscong WMA (Munuscong Potholes)",46.1874469,-84.3106817,2018-08-15,12:50:00,"eBird - Traveling Count",51,1,3.493,NA,2,NA,NA,NA,"2018","S48048868"
"8","S47629831","Canada Goose","Branta canadensis",296,"8","US-MI","Chippewa","SSM1 Survey Transect 04.5km Point",46.462879,-84.3770512,2018-05-28,06:26:00,"eBird - Stationary Count",12,1,NA,NA,1,"F Flyover",NA,NA,"2018","S47629831"
"9","S46300209","Canada Goose","Branta canadensis",296,"2","US-MI","Grand Traverse","TRC2 Survey Transect 10.5km Point",44.7637349,-85.7318848,2018-05-21,07:45:00,"eBird - Stationary Count",12,1,NA,NA,2,NA,NA,NA,"2018","S46300209"
"10","S46413283","Mute Swan","Cygnus olor",328,"8","US-MI","Alpena","601 S 11th Ave, Alpena US-MI (45.0645,-83.4555)",45.064514,-83.455529,2018-06-09,08:47:00,"eBird - Stationary Count",8,1,NA,NA,2,"NY Nest with Young",NA,NA,"2018","S46413283"
